#{"t_start": 1780877043.7068098, "env_id": "None"}
r,l,t
5061.0,201,591.180054
5743.0,201,593.381262
4489.5,201,593.779695
6128.5,201,594.150865
5073.5,201,594.550929
4288.5,201,594.945909
6159.5,201,595.328129
4594.0,201,595.734228
5745.0,201,596.138012
7339.5,201,596.530147
6080.5,201,596.93715
5699.0,201,599.100521
4507.0,201,599.480656
5913.5,201,599.865359
5806.0,201,600.234027
7003.5,201,600.629152
6560.5,201,601.030735
7595.5,201,601.425687
4887.0,201,601.830446
6870.0,201,602.226562
6245.5,201,602.65063
6321.0,201,603.047812
7763.5,201,605.196239
5288.5,201,605.570561
6414.5,201,605.971058
6180.5,201,606.359459
4115.5,201,606.770568
6005.5,201,607.16955
4584.0,201,607.559335
5923.0,201,607.936613
5185.5,201,608.308956
6021.5,201,608.703312
6456.0,201,610.911923
5550.5,201,611.301858
4024.5,201,611.696983
4489.0,201,612.093601
6757.0,201,612.513547
6188.5,201,612.891361
6717.0,201,613.273261
5098.5,201,613.649491
3823.5,201,614.008284
5998.0,201,614.408161
6028.5,201,616.571053
6202.5,201,616.991
5392.5,201,617.41537
5870.0,201,617.803049
7380.5,201,618.160625
4295.0,201,618.548937
5733.0,201,618.941528
5323.5,201,619.347718
4791.0,201,619.732764
8286.5,201,620.148159
4528.0,201,622.228508
3434.0,201,622.617702
6834.0,201,623.00004
5262.5,201,623.372248
5642.0,201,623.765513
6109.0,201,624.156047
6631.0,201,624.547762
6165.0,201,624.928385
6945.0,201,625.319438
6291.5,201,625.706773
6422.0,201,627.843127
7595.0,201,628.219714
7437.5,201,628.608462
6822.0,201,628.997904
6288.0,201,629.372843
9155.0,201,629.744046
5540.0,201,630.137543
5074.5,201,630.523854
4694.0,201,630.905982
8005.5,201,631.312736
5295.0,201,631.713115
7447.0,201,633.80953
7602.5,201,634.220738
6261.5,201,634.606715
8004.0,201,634.990525
6844.5,201,635.397357
6836.0,201,635.759959
5603.5,201,636.172544
7467.0,201,636.537203
6694.0,201,636.934661
4696.0,201,637.313779
7298.0,201,639.424003
7466.5,201,639.781571
7112.5,201,640.195041
3837.5,201,640.591135
6269.5,201,640.967344
7547.5,201,641.350474
7418.0,201,641.752684
6889.5,201,642.143942
5365.0,201,642.518685
5714.5,201,642.898431
8100.0,201,645.038171
5318.5,201,645.414049
8112.5,201,645.817279
7543.0,201,646.197574
7290.5,201,646.585531
6057.0,201,646.976657
4503.0,201,647.363528
6516.5,201,647.734698
6769.5,201,648.123513
5376.5,201,648.517579
5633.0,201,650.654867
8175.5,201,651.041747
5877.0,201,651.424106
7904.0,201,651.82036
5800.0,201,652.213824
9138.5,201,652.593529
4181.0,201,652.987519
5457.0,141,653.258524
4356.5,171,653.604842
5540.5,153,653.896702
3941.5,201,654.28571
5789.0,156,656.328836
5299.0,146,656.618367
5529.5,126,656.871478
4551.0,174,657.195529
4715.5,182,657.545475
5808.0,154,657.873585
5432.5,151,658.164478
4964.5,163,658.468278
5018.0,158,658.767142
5079.5,172,659.086552
4748.5,188,659.447523
5250.5,144,659.73148
5267.0,155,660.028417
5384.0,151,662.029794
4727.0,164,662.339538
5148.5,157,662.658527
4693.5,182,663.013906
4521.0,162,663.337395
5725.0,133,663.586977
5143.0,174,663.915606
4520.5,172,664.239365
4485.0,193,664.607352
5202.5,168,664.911258
3858.0,196,665.247304
4713.5,172,665.551532
3873.0,201,667.78478
5629.0,144,668.041602
5184.0,155,668.33012
4728.0,179,668.671169
4822.5,197,669.024591
5379.0,131,669.268887
5061.0,153,669.557143
4355.5,168,669.867772
5738.5,124,670.093002
4391.5,193,670.48801
5019.0,160,670.807862
4798.5,185,671.164748
4926.0,166,671.478924
5002.0,138,673.475665
4770.5,161,673.77046
4812.0,162,674.092721
5276.5,176,674.417837
5165.5,143,674.677895
5182.5,158,674.951883
4262.0,201,675.341298
5871.0,135,675.626565
5011.5,159,675.942166
4286.5,149,676.204422
5601.5,152,676.498062
4994.0,152,676.778389
5261.0,140,677.015596
4947.5,147,679.06929
5110.5,165,679.365963
4781.5,168,679.71454
5853.5,132,679.952909
4717.0,157,680.24972
5539.0,149,680.552581
4913.0,151,680.848355
5186.5,166,681.184306
4864.0,177,681.498206
5633.5,148,681.757395
5578.5,148,682.034905
5085.0,157,682.313582
4522.5,186,682.633086
4273.0,189,684.812116
5220.0,143,685.064201
5379.0,139,685.316145
4901.0,144,685.594467
5087.5,180,685.958331
5104.5,163,686.25302
5167.0,180,686.580877
5170.0,139,686.841842
5536.0,137,687.089348
5539.0,140,687.344774
5153.0,148,687.627315
5117.0,159,687.967248
5014.5,167,688.271414
